,date,country_code,project,article,qid,pageviews,total_pageviews,language
939,2024-07-29,US,en.wikipedia,Too_Hot_to_Handle_season_6,,3392,170678,en
994,2024-08-02,JP,ja.wikipedia,2024年パリオリンピック,Q995653,6067,163449,ja
1033,2024-08-06,BE,fr.wikipedia,Tableau_des_médailles_des_Jeux_olympiques_d'été_de_2024,Q111817408,349,159773,fr
1039,2024-07-30,PT,pt.wikipedia,Cleópatra,Q635,105,159173,pt
1054,2024-07-26,BE,fr.wikipedia,Lucie_Castets,,287,157876,fr
1057,2024-07-28,DE,en.wikipedia,Kamala_Harris_2024_presidential_campaign,,148,157695,en
1113,2024-07-29,US,zh.wikipedia,2020年夏季奥林匹克运动会,Q181278,627,151952,zh
1131,2024-08-02,FR,de.wikipedia,Nekrolog_2024,Q123489953,93,150329,de
1133,2024-07-29,ID,en.wikipedia,Nadal,Q10132,544,150274,en
1136,2024-08-11,NP,en.wikipedia,It_Ends_With_Us,Q94292018,102,150195,en
1142,2024-07-26,CA,en.wikipedia,Tennis_at_the_2024_Summer_Olympics_–_Men's_doubles,,210,149441,en
1148,2024-07-30,IN,hi.wikipedia,क्लियोपाट्रा_७,Q635,8600,148494,hi
1157,2024-08-11,DE,hu.wikipedia,2024._évi_nyári_olimpiai_játékok,Q995653,235,148038,hu
1163,2024-08-10,GB,en.wikipedia,Julia_Szeremeta,,440,147780,en
1166,2024-08-11,JP,ja.wikipedia,アヤ・ナカムラ,Q37793136,545,147599,ja
1172,2024-08-11,US,ja.wikipedia,川口ゆり,,524,147240,ja
1186,2024-08-11,IT,it.wikipedia,100_metri_piani,Q164761,2530,145948,it
1198,2024-08-04,DE,de.wikipedia,Olympische_Sommerspiele_2028,Q1451505,6966,145536,de
1207,2024-08-11,FR,it.wikipedia,Medagliere_complessivo_dei_Giochi_olimpici,Q208519,169,145049,it
1216,2024-08-07,PL,pl.wikipedia,Igrzyska_olimpijskie,Q5389,6684,144449,pl
1240,2024-08-05,CO,es.wikipedia,Waker-uz-Zaman,,131,143006,es
1251,2024-08-08,BD,bd.wikimedia,বাংলা_উইকিসম্মেলন_২০২৪/অনুষ্ঠানসূচি/বিন্যাস,,8016,142006,bd
1258,2024-08-09,FR,ru.wikipedia,Список_умерших_в_2024_году,Q123489953,94,141320,ru
1261,2024-07-28,US,en.wikipedia,The_Fantastic_Four:_First_Steps,,5808,141194,en
1262,2024-08-05,PL,pl.wikipedia,Kleopatra,Q635,976,141153,pl
1276,2024-08-02,US,hi.wikipedia,XXXX_(बीयर),,93,140426,hi
1324,2024-08-01,PT,pt.wikipedia,Jogos_Olímpicos,Q5389,1302,137597,pt
1332,2024-08-01,FI,ru.wikipedia,Обмен_заключёнными_между_Россией_и_Западом_(2024),,133,136890,ru
1385,2024-07-26,SI,en.wikipedia,2020_Summer_Olympics,Q181278,122,133093,en
1390,2024-08-01,PH,en.wikipedia,List_of_2024_Summer_Olympics_medal_winners,,160,132831,en
1395,2024-08-09,KR,ko.wikipedia,클레오파트라,Q635,7783,132404,ko
1397,2024-08-10,KG,ru.wikipedia,Дом_Дракона,Q72930269,92,132130,ru
1416,2024-08-08,CH,de.wikipedia,Olympische_Sommerspiele_2020,Q181278,189,130951,de
1430,2024-07-30,MY,zh.wikipedia,奥林匹克运动会,Q5389,658,130460,zh
1436,2024-08-03,GB,en.wikipedia,2024_Democratic_Party_vice_presidential_candidate_selection,,596,130106,en
1454,2024-08-04,GB,en.wikipedia,Le_Festin_des_Dieux,,257,128707,en
1475,2024-07-29,CH,de.wikipedia,Medaillenspiegel_der_Olympischen_Sommerspiele_2024,,574,127780,de
1529,2024-08-05,CA,fr.wikipedia,Sainte-Lucie,Q760,312,125351,fr
1540,2024-07-26,JP,ja.wikipedia,吉沢恋,,283,124647,ja
1592,2024-08-05,CO,es.wikipedia,Juegos_Olímpicos_de_Tokio_2020,Q181278,841,122116,es
1631,2024-07-31,US,pt.wikipedia,Quadro_de_medalhas_dos_Jogos_Olímpicos,Q208519,94,120262,pt
1639,2024-08-05,CA,fr.wikipedia,Jeux_olympiques_d'été_de_2028,Q1451505,336,119837,fr
1662,2024-07-30,RU,ru.wikipedia,Бангладеш,Q902,1116,118708,ru
1676,2024-08-03,IN,en.wikipedia,Dead_Sea_(film),,115,117947,en
1683,2024-07-31,IT,it.wikipedia,Giochi_della_XXXII_Olimpiade,Q181278,7563,117616,it
